kabupaten,tahun,bulan,ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR
Lampung Selatan,2020,1,18.786129032258064,27.49290322580645,29.5641935483871,25.778387096774193,85.00870967741936,535.15
Lampung Selatan,2020,2,18.09,27.318620689655173,29.163103448275862,25.70551724137931,86.09482758620689,345.02
Lampung Selatan,2020,3,18.121935483870967,27.694193548387098,29.393225806451614,26.202903225806452,84.36806451612902,397.61
Lampung Selatan,2020,4,18.657333333333334,27.99233333333333,29.690333333333335,26.555,83.36066666666667,258.34
Lampung Selatan,2020,5,16.216129032258063,27.934193548387096,29.476129032258065,26.67838709677419,84.79741935483872,187.62
Lampung Selatan,2020,6,16.039333333333335,27.449333333333335,29.13266666666667,26.146,83.42399999999999,196.15
Lampung Selatan,2020,7,16.695483870967742,26.983870967741936,28.786451612903225,25.621935483870967,82.88612903225805,127.22
Lampung Selatan,2020,8,19.634516129032257,27.050322580645158,29.052258064516128,25.486129032258066,82.49290322580646,143.55
Lampung Selatan,2020,9,18.83966666666667,27.35,29.570333333333334,25.56433333333333,81.02333333333333,112.24000000000001
Lampung Selatan,2020,10,17.818064516129034,27.28774193548387,29.266129032258064,25.74290322580645,82.80967741935484,140.17000000000002
Lampung Selatan,2020,11,17.349333333333334,27.643666666666665,29.804666666666666,25.988333333333333,81.65799999999999,140.37
Lampung Selatan,2020,12,17.049677419354836,26.830645161290324,28.86967741935484,25.261290322580646,84.34548387096774,295.04
Lampung Selatan,2021,1,15.440967741935484,26.64483870967742,28.544516129032257,25.05483870967742,85.73387096774194,356.94
Lampung Selatan,2021,2,17.595357142857143,26.737142857142857,28.650357142857143,25.15285714285714,87.35285714285715,422.17
Lampung Selatan,2021,3,19.870645161290323,27.026774193548388,28.794516129032257,25.47,83.63774193548387,247.25
Lampung Selatan,2021,4,18.813,27.31066666666667,29.136000000000003,25.772666666666666,83.16233333333334,208.96
Lampung Selatan,2021,5,16.618387096774192,27.893870967741936,29.629032258064516,26.567741935483873,83.82161290322581,116.27
Lampung Selatan,2021,6,15.077666666666666,27.258666666666667,28.866333333333333,25.952,83.48433333333334,96.72
Lampung Selatan,2021,7,16.823870967741936,27.15806451612903,29.25774193548387,25.48741935483871,80.14709677419354,55.1
Lampung Selatan,2021,8,17.232580645161292,27.359032258064516,29.56451612903226,25.77741935483871,80.30741935483871,109.96
Lampung Selatan,2021,9,17.979,27.346,29.52466666666667,25.634333333333334,81.136,163.38
Lampung Selatan,2021,10,19.53258064516129,27.767419354838708,30.024193548387096,26.015483870967742,80.12806451612903,161.08
Lampung Selatan,2021,11,17.31066666666667,27.090666666666667,28.948333333333334,25.625,84.36533333333334,300.26
Lampung Selatan,2021,12,17.98193548387097,27.21225806451613,29.169354838709676,25.586451612903225,83.42129032258065,331.47
Lampung Selatan,2022,1,18.811612903225804,26.889032258064514,28.54548387096774,25.46677419354839,85.36516129032259,307.2
Lampung Selatan,2022,2,18.75392857142857,26.98,28.962500000000002,25.276785714285715,83.19857142857143,253.07
Lampung Selatan,2022,3,18.822903225806453,27.39516129032258,29.256451612903227,25.816451612903226,83.80354838709677,162.42
Lampung Selatan,2022,4,19.051666666666666,27.411333333333335,29.270666666666667,25.933,83.48033333333333,209.96
Lampung Selatan,2022,5,15.711612903225806,27.58451612903226,29.187096774193545,26.241290322580646,83.8916129032258,240.09
Lampung Selatan,2022,6,14.861333333333334,26.899,28.483999999999998,25.620333333333335,83.743,124.77
Lampung Selatan,2022,7,15.80774193548387,27.153225806451612,28.916451612903224,25.767419354838708,82.74935483870968,87.33
Lampung Selatan,2022,8,17.654193548387095,27.14516129032258,28.90064516129032,25.720967741935485,82.68806451612903,125.39
Lampung Selatan,2022,9,18.262999999999998,27.023666666666667,28.968666666666664,25.453333333333333,83.04166666666667,96.79
Lampung Selatan,2022,10,17.760322580645163,26.851612903225806,28.635483870967743,25.44451612903226,84.77064516129032,192.17
Lampung Selatan,2022,11,18.529333333333334,26.956,28.993333333333332,25.404666666666667,84.71933333333332,151.98
Lampung Selatan,2022,12,16.406774193548387,26.90225806451613,29.03258064516129,25.20806451612903,83.71354838709676,232.61
